Step,RAC,ent1,ent2,ent3,
1,0,-0.001002,0.001,1e-06,
2,0,-0.000427931,0.00034863,0.000116556,
3,0,-8.70094e-05,0.000118244,7.21687e-05,
4,1.47523e-05,8.77533e-05,5.33127e-05,1.47523e-05,
5,0,0.000174355,4.31469e-05,-2.42226e-05,
6,0,0.000222492,4.69079e-05,-4.70933e-05,
7,0,0.000256628,5.26413e-05,-6.11939e-05,
8,0,0.000286876,5.8091e-05,-7.15659e-05,
9,0,0.000316945,6.33635e-05,-8.07011e-05,
10,0,0.000348174,6.87949e-05,-8.96377e-05,
11,0,0.000381158,7.45794e-05,-9.87853e-05,
12,0,0.000416299,8.08096e-05,-0.00010833,
13,0,0.000453958,8.75405e-05,-0.000118392,
14,0,0.0004945,9.48221e-05,-0.000129072,
15,0,0.000538304,0.000102708,-0.000140473,
16,0,0.000585771,0.000111259,-0.000152697,
17,0,0.000637328,0.000120542,-0.000165852,
18,0,0.00069344,0.000130632,-0.000180052,
19,0,0.000754608,0.000141613,-0.00019542,
20,0,0.00082138,0.000153576,-0.000212087,
21,0,0.000894358,0.000166621,-0.000230195,
22,0,0.000974199,0.000180861,-0.000249901,
23,0,0.00106163,0.000196419,-0.000271374,
24,0,0.00115744,0.00021343,-0.000294799,
25,0,0.00126252,0.000232044,-0.000320381,
26,0,0.00137784,0.000252427,-0.000348343,
27,0,0.00150446,0.000274762,-0.000378933,
28,0,0.00164358,0.000299252,-0.000412422,
29,0,0.00179649,0.000326119,-0.000449109,
30,0,0.00196465,0.000355611,-0.000489324,
31,0,0.00214965,0.000388004,-0.000533432,
32,0,0.00235327,0.0004236,-0.000581837,
33,0,0.00257746,0.000462736,-0.000634981,
34,0,0.00282439,0.000505784,-0.000693357,
35,0,0.00309645,0.000553157,-0.000757506,
36,0,0.00339629,0.000605315,-0.000828029,
37,0,0.00372684,0.000662766,-0.000905589,
38,0,0.00409134,0.000726071,-0.000990915,
39,0,0.00449338,0.000795863,-0.00108482,
40,0,0.00493692,0.000872829,-0.0011882,
41,0,0.00542635,0.000957747,-0.00130204,
42,0,0.0059665,0.00105147,-0.00142743,
43,0,0.00656273,0.00115496,-0.00156559,
44,0,0.00722094,0.00126928,-0.00171784,
45,0,0.00794766,0.00139559,-0.00188566,
46,0,0.00875008,0.00153523,-0.00207067,
47,0,0.00963613,0.00168964,-0.00227467,
48,0,0.0106146,0.00186046,-0.00249964,
49,0,0.011695,0.00204949,-0.00274776,
50,0,0.0128879,0.00225875,-0.00302143,
51,0,0.0142051,0.00249049,-0.00332332,
52,0,0.0156593,0.00274723,-0.00365632,
53,0,0.0172643,0.00303176,-0.00402365,
54,0,0.0190355,0.00334721,-0.00442884,
55,0,0.0209897,0.00369704,-0.00487574,
56,0,0.0231449,0.00408517,-0.00536861,
57,0,0.025521,0.00451594,-0.00591207,
58,0,0.0281393,0.00499421,-0.00651121,
59,0,0.0310232,0.0055254,-0.00717157,
60,0,0.0341976,0.00611561,-0.00789919,
61,0,0.0376892,0.00677161,-0.00870061,
62,0,0.0415267,0.00750099,-0.00958296,
63,0,0.0457405,0.00831228,-0.010554,
64,0,0.0503626,0.00921497,-0.0116219,
65,0,0.0554265,0.0102197,-0.0127958,
66,0,0.0609672,0.0113384,-0.0140851,
67,0,0.0670202,0.0125843,-0.0155001,
68,0,0.0736216,0.0139722,-0.0170516,
69,0,0.0808072,0.0155187,-0.0187511,
70,0,0.0886118,0.0172422,-0.0206107,
71,0,0.0970677,0.0191631,-0.0226429,
72,0,0.106204,0.0213038,-0.0248605,
73,0,0.116045,0.0236893,-0.0272768,
74,0,0.126607,0.0263466,-0.0299051,
75,0,0.137899,0.0293054,-0.0327586,
76,0,0.149916,0.0325972,-0.0358499,
77,0,0.162639,0.0362556,-0.039191,
78,0,0.176034,0.0403156,-0.0427924,
79,0,0.190042,0.0448126,-0.0466627,
80,0,0.204582,0.0497815,-0.0508076,
81,0,0.219545,0.055254,-0.0552291,
82,0,0.234793,0.0612573,-0.0599238,
83,0,0.250155,0.0678096,-0.0648815,
84,0,0.265429,0.0749172,-0.0700832,
85,0,0.280383,0.0825681,-0.0754989,
86,0,0.294758,0.0907272,-0.0810841,
87,0,0.308279,0.0993298,-0.0867781,
88,0,0.320658,0.108276,-0.092501,
89,0,0.331617,0.117426,-0.0981516,
90,0,0.340896,0.126599,-0.103608,
91,0,0.348279,0.135572,-0.108727,
92,0,0.353603,0.144093,-0.113355,
93,0,0.356784,0.151889,-0.117329,
94,0,0.35782,0.158689,-0.120496,
95,0,0.356797,0.164247,-0.122723,
96,0,0.353887,0.168365,-0.123914,
97,0,0.349336,0.170918,-0.124022,
98,0,0.343439,0.171865,-0.123057,
99,0,0.336522,0.171256,-0.121088,
100,0,0.328916,0.169227,-0.118236,
101,0,0.320935,0.165977,-0.114662,
102,0,0.312858,0.161752,-0.11055,
103,0,0.304917,0.156819,-0.106093,
104,0,0.297296,0.151436,-0.101472,
105,0,0.290128,0.145843,-0.096849,
106,0,0.2835,0.140241,-0.0923582,
107,0,0.277461,0.134791,-0.0881017,
108,0,0.272027,0.129614,-0.0841515,
109,0,0.267193,0.124789,-0.0805514,
110,0,0.262932,0.120364,-0.0773223,
111,0,0.259211,0.116358,-0.0744669,
112,0,0.255987,0.11277,-0.0719738,
113,0,0.253213,0.109586,-0.0698227,
114,0,0.250844,0.106781,-0.067987,
115,0,0.248834,0.104323,-0.0664374,
116,0,0.247142,0.10218,-0.0651438,
117,0,0.245727,0.100318,-0.0640767,
118,0,0.244552,0.0987042,-0.0632072,
119,0,0.243586,0.0973085,-0.06251,
120,0,0.2428,0.0961024,-0.0619608,
121,0,0.242168,0.0950606,-0.0615383,
122,0,0.241668,0.0941608,-0.0612239,
123,0,0.24128,0.0933826,-0.0610009,
124,0,0.240988,0.0927093,-0.0608552,
125,0,0.240776,0.0921253,-0.0607744,
126,0,0.240633,0.0916179,-0.0607478,
127,0,0.240547,0.091176,-0.0607662,
128,0,0.240509,0.0907901,-0.0608218,
129,0,0.240512,0.0904524,-0.0609085,
130,0,0.240549,0.0901552,-0.0610203,
131,0,0.240614,0.0898933,-0.0611527,
132,0,0.240702,0.0896615,-0.0613014,
133,0,0.24081,0.0894558,-0.0614637,
134,0,0.240934,0.0892722,-0.0616363,
135,0,0.24107,0.089108,-0.0618169,
136,0,0.241217,0.0889605,-0.0620036,
137,0,0.241373,0.0888276,-0.0621949,
138,0,0.241535,0.088707,-0.0623891,
139,0,0.241703,0.0885978,-0.0625853,
140,0,0.241875,0.0884982,-0.0627827,
141,0,0.242049,0.0884072,-0.0629803,
142,0,0.242226,0.0883236,-0.0631773,
143,0,0.242405,0.0882468,-0.0633735,
144,0,0.242584,0.088176,-0.0635683,
145,0,0.242764,0.0881106,-0.0637614,
146,0,0.242943,0.0880497,-0.0639523,
147,0,0.243122,0.0879934,-0.0641409,
148,0,0.2433,0.0879409,-0.0643272,
149,0,0.243477,0.0878918,-0.0645108,
150,0,0.243653,0.0878461,-0.0646915,
151,0,0.243827,0.087803,-0.0648694,
152,0,0.244,0.0877627,-0.0650444,
153,0,0.244171,0.0877249,-0.0652165,
154,0,0.24434,0.0876893,-0.0653856,
155,0,0.244507,0.0876558,-0.0655517,
156,0,0.244672,0.0876241,-0.0657149,
157,0,0.244835,0.0875942,-0.065875,
158,0,0.244996,0.0875662,-0.0660321,
159,0,0.245155,0.0875394,-0.0661862,
160,0,0.245311,0.0875141,-0.0663374,
161,0,0.245466,0.0874901,-0.0664857,
162,0,0.245618,0.0874675,-0.0666311,
163,0,0.245768,0.0874458,-0.0667737,
164,0,0.245915,0.0874252,-0.0669133,
165,0,0.246061,0.0874058,-0.0670502,
166,0,0.246204,0.0873871,-0.0671844,
167,0,0.246345,0.0873691,-0.0673159,
168,0,0.246484,0.0873523,-0.0674448,
169,0,0.24662,0.0873364,-0.0675711,
