Step,RAC,ent1,ent2,ent3,ent4,
1,0,-0.001,-0.001002,0.001,1e-06,
2,0,-0.000656133,-0.000427809,0.00034849,0.000270387,
3,0,-0.000469263,-8.68858e-05,0.000118092,0.000247768,
4,0,-0.00039434,8.78675e-05,5.31768e-05,0.000185345,
5,0,-0.000381146,0.000174469,4.30241e-05,0.000144843,
6,0,-0.000397213,0.000222615,4.67914e-05,0.000128114,
7,0,-0.000426268,0.000256765,5.25251e-05,0.000125667,
8,0,-0.000461606,0.000287031,5.79703e-05,0.000130235,
9,0,-0.000500999,0.000317123,6.32347e-05,0.000138157,
10,0,-0.000543977,0.000348379,6.86542e-05,0.000147992,
11,0,-0.000590677,0.000381395,7.44234e-05,0.000159301,
12,0,-0.000641432,0.000416573,8.06347e-05,0.000172019,
13,0,-0.000696655,0.000454275,8.73441e-05,0.000186204,
14,0,-0.000756812,0.000494867,9.46005e-05,0.000201961,
15,0,-0.000822417,0.000538728,0.000102457,0.00021942,
16,0,-0.000894039,0.000586262,0.000110973,0.000238733,
17,0,-0.000972305,0.000637897,0.000120217,0.00026007,
18,0,-0.00105791,0.0006941,0.000130261,0.000283626,
19,0,-0.00115161,0.000755374,0.000141188,0.000309619,
20,0,-0.00125425,0.00082227,0.000153088,0.000338293,
21,0,-0.00136676,0.000895392,0.000166061,0.000369918,
22,0,-0.00149017,0.000975402,0.000180217,0.000404797,
23,0,-0.00162561,0.00106303,0.000195676,0.000443266,
24,0,-0.00177434,0.00115908,0.000212571,0.0004857,
25,0,-0.00193775,0.00126443,0.000231051,0.000532511,
26,0,-0.00211736,0.00138006,0.000251275,0.00058416,
27,0,-0.00231487,0.00150707,0.000273425,0.000641157,
28,0,-0.00253217,0.00164662,0.000297696,0.000704068,
29,0,-0.00277133,0.00180006,0.000324306,0.00077352,
30,0,-0.00303464,0.00196884,0.000353496,0.000850208,
31,0,-0.00332466,0.00215458,0.000385532,0.000934904,
32,0,-0.0036442,0.00235907,0.000420706,0.00102846,
33,0,-0.00399638,0.00258429,0.000459342,0.00113182,
34,0,-0.00438465,0.00283244,0.0005018,0.00124604,
35,0,-0.00481284,0.00310595,0.000548473,0.00137227,
36,0,-0.00528517,0.00340752,0.0005998,0.0015118,
37,0,-0.00580633,0.00374013,0.000656263,0.00166605,
38,0,-0.00638149,0.00410708,0.000718394,0.0018366,
39,0,-0.00701639,0.00451205,0.000786785,0.00202518,
40,0,-0.00771737,0.00495908,0.000862087,0.00223373,
41,0,-0.00849144,0.00545268,0.000945014,0.00246437,
42,0,-0.00934636,0.00599782,0.00103637,0.00271945,
43,0,-0.0102907,0.00660003,0.00113702,0.00300157,
44,0,-0.0113339,0.00726539,0.00124793,0.00331358,
45,0,-0.0124864,0.0080007,0.00137018,0.00365865,
46,0,-0.0137598,0.00881341,0.00150493,0.00404025,
47,0,-0.0151668,0.00971183,0.00165349,0.0044622,
48,0,-0.0167213,0.0107051,0.00181728,0.0049287,
49,0,-0.0184389,0.0118034,0.00199788,0.00544437,
50,0,-0.0203365,0.0130178,0.00219698,0.00601427,
51,0,-0.0224327,0.0143609,0.00241652,0.00664391,
52,0,-0.0247481,0.0158461,0.00265856,0.00733934,
53,0,-0.0273049,0.0174886,0.00292537,0.00810713,
54,0,-0.0301278,0.0193051,0.00321946,0.00895442,
55,0,-0.0332435,0.0213137,0.00354354,0.00988897,
56,0,-0.0366812,0.0235346,0.00390059,0.0109191,
57,0,-0.0404725,0.0259899,0.00429384,0.0120539,
58,0,-0.044652,0.0287038,0.00472678,0.0133029,
59,0,-0.0492566,0.031703,0.00520322,0.0146763,
60,0,-0.0543264,0.0350164,0.00572724,0.0161852,
61,0,-0.0599042,0.0386758,0.00630321,0.0178408,
62,0,-0.0660356,0.0427156,0.00693585,0.019655,
63,0,-0.0727691,0.0471733,0.00763015,0.0216401,
64,0,-0.0801555,0.0520894,0.00839135,0.0238086,
65,0,-0.0882481,0.0575076,0.00922498,0.0261726,
66,0,-0.0971018,0.0634746,0.0101367,0.0287446,
67,0,-0.106773,0.0700405,0.0111325,0.0315357,
68,0,-0.117317,0.0772584,0.0122182,0.0345563,
69,0,-0.128789,0.085184,0.0133996,0.037815,
70,0,-0.141244,0.0938756,0.0146823,0.0413179,
71,0,-0.154728,0.103393,0.0160716,0.045068,
72,0,-0.169283,0.113799,0.0175719,0.049064,
73,0,-0.184943,0.125152,0.0191867,0.0532993,
74,0,-0.201727,0.137514,0.0209181,0.0577607,
75,0,-0.219639,0.150939,0.0227663,0.0624268,
76,0,-0.238659,0.16548,0.0247292,0.0672668,
77,0,-0.258744,0.181176,0.0268017,0.0722387,
