Step,RAC,ent1,ent2,ent3,ent4,
78,0,-0.27982,0.198059,0.0289748,0.077288,
79,0,-0.301773,0.216139,0.0312355,0.082346,
80,0,-0.32445,0.235409,0.0335653,0.0873295,
81,0,-0.34765,0.255831,0.0359397,0.0921406,
82,0,-0.371121,0.277334,0.0383284,0.0966666,
83,0,-0.39456,0.299807,0.0406941,0.100783,
84,0,-0.417614,0.323092,0.0429929,0.104358,
85,0,-0.439882,0.346975,0.0451756,0.107255,
86,0,-0.460934,0.371187,0.0471884,0.109344,
87,0,-0.480317,0.395396,0.0489759,0.110511,
88,0,-0.497585,0.419213,0.0504843,0.110668,
89,0,-0.512322,0.4422,0.0516654,0.109766,
90,0,-0.524176,0.463879,0.0524825,0.107806,
91,0,-0.532886,0.483756,0.0529137,0.104849,
92,0,-0.538316,0.501352,0.0529579,0.101017,
93,0,-0.540472,0.516231,0.0526356,0.0964922,
94,0,-0.539505,0.528036,0.0519907,0.0915021,
95,0,-0.535712,0.536526,0.0510867,0.0863049,
96,0,-0.529503,0.541598,0.0500019,0.0811628,
97,0,-0.521371,0.543301,0.048821,0.0763183,
98,0,-0.511845,0.541836,0.0476275,0.0719718,
99,0,-0.501449,0.537533,0.0464948,0.0682642,
100,0,-0.49066,0.530824,0.0454804,0.0652727,
101,0,-0.479883,0.522204,0.044623,0.0630105,
102,0,-0.469441,0.512188,0.0439418,0.0614393,
103,0,-0.459563,0.501272,0.0434387,0.0604815,
104,0,-0.4504,0.489909,0.0431023,0.0600377,
105,0,-0.442033,0.478482,0.0429114,0.0600003,
106,0,-0.434488,0.467301,0.0428411,0.0602645,
107,0,-0.427752,0.456597,0.0428648,0.0607367,
108,0,-0.421785,0.446533,0.0429572,0.0613379,
109,0,-0.416533,0.437208,0.0430966,0.0620056,
110,0,-0.411932,0.428669,0.0432644,0.062693,
111,0,-0.407915,0.420925,0.0434468,0.0633657,
112,0,-0.404418,0.413958,0.0436328,0.0640022,
113,0,-0.401381,0.407728,0.0438151,0.0645886,
114,0,-0.398745,0.402182,0.0439888,0.0651186,
115,0,-0.396461,0.397262,0.0441512,0.0655899,
116,0,-0.394482,0.392907,0.0443006,0.0660039,
117,0,-0.392768,0.389058,0.0444368,0.0663635,
118,0,-0.391282,0.385657,0.04456,0.0666736,
119,0,-0.389994,0.38265,0.0446712,0.0669383,
120,0,-0.388876,0.379988,0.0447711,0.0671634,
121,0,-0.387905,0.377629,0.0448608,0.0673538,
122,0,-0.38706,0.375531,0.0449415,0.0675138,
123,0,-0.386324,0.373661,0.045014,0.067648,
124,0,-0.385681,0.371989,0.0450796,0.0677599,
125,0,-0.385119,0.370488,0.0451392,0.0678527,
126,0,-0.384626,0.369136,0.0451933,0.0679294,
127,0,-0.384193,0.367912,0.0452426,0.067993,
128,0,-0.383811,0.3668,0.0452879,0.0680455,
129,0,-0.383474,0.365786,0.0453299,0.068088,
130,0,-0.383175,0.364856,0.0453684,0.068123,
131,0,-0.38291,0.364001,0.0454044,0.0681512,
132,0,-0.382674,0.36321,0.045438,0.0681744,
133,0,-0.382464,0.362478,0.0454691,0.0681929,
134,0,-0.382276,0.361796,0.0454987,0.0682077,
135,0,-0.382107,0.361159,0.0455265,0.0682198,
136,0,-0.381956,0.360562,0.0455527,0.0682294,
137,0,-0.38182,0.360001,0.0455777,0.068237,
138,0,-0.381698,0.359472,0.0456016,0.068243,
139,0,-0.381587,0.358973,0.0456244,0.068248,
140,0,-0.381488,0.3585,0.0456461,0.0682516,
141,0,-0.381398,0.358051,0.0456669,0.0682547,
142,0,-0.381317,0.357624,0.0456871,0.0682572,
143,0,-0.381244,0.357217,0.0457064,0.0682593,
144,0,-0.381178,0.356829,0.0457251,0.068261,
145,0,-0.381119,0.356459,0.0457433,0.0682625,
146,0,-0.381065,0.356104,0.0457606,0.068264,
147,0,-0.381018,0.355765,0.0457777,0.0682653,
148,0,-0.380975,0.35544,0.0457944,0.0682665,
149,0,-0.380937,0.355128,0.0458105,0.0682678,
150,0,-0.380903,0.354828,0.0458262,0.0682693,
151,0,-0.380873,0.35454,0.0458416,0.0682709,
152,0,-0.380847,0.354263,0.0458565,0.0682726,
153,0,-0.380825,0.353996,0.0458713,0.0682743,
154,0,-0.380805,0.35374,0.0458854,0.0682762,
155,0,-0.380789,0.353492,0.0458996,0.0682782,
156,0,-0.380775,0.353254,0.0459133,0.0682803,
157,0,-0.380764,0.353024,0.0459269,0.0682826,
158,0,-0.380755,0.352802,0.0459403,0.068285,
159,0,-0.380749,0.352589,0.0459533,0.0682876,
160,0,-0.380744,0.352382,0.0459662,0.0682902,
161,0,-0.380742,0.352183,0.0459788,0.068293,
162,0,-0.380741,0.35199,0.0459913,0.0682959,
163,0,-0.380742,0.351804,0.0460036,0.0682989,
164,0,-0.380745,0.351623,0.0460156,0.0683022,
165,0,-0.380749,0.351449,0.0460276,0.0683056,
166,0,-0.380755,0.351281,0.0460393,0.0683089,
167,0,-0.380762,0.351118,0.0460507,0.0683124,
168,0,-0.38077,0.35096,0.0460622,0.0683159,
169,0,-0.380779,0.350807,0.0460735,0.0683195,
170,0,-0.380789,0.350659,0.0460846,0.0683233,
171,0,-0.3808,0.350516,0.0460957,0.068327,
172,0,-0.380812,0.350377,0.0461065,0.0683307,
173,0,-0.380825,0.350243,0.0461172,0.0683347,
174,0,-0.380838,0.350112,0.0461277,0.0683387,
175,0,-0.380852,0.349986,0.0461381,0.0683426,
176,0,-0.380867,0.349863,0.0461483,0.0683469,
177,0,-0.380882,0.349744,0.0461584,0.0683509,
178,0,-0.380898,0.349629,0.0461684,0.068355,
179,0,-0.380915,0.349517,0.0461783,0.0683592,
180,0,-0.380932,0.349409,0.0461879,0.0683634,
181,0,-0.380949,0.349303,0.0461977,0.0683677,
182,0,-0.380966,0.349201,0.0462071,0.0683717,
183,0,-0.380984,0.349102,0.0462165,0.068376,
184,0,-0.381003,0.349005,0.0462257,0.0683804,
185,0,-0.381021,0.348911,0.0462348,0.0683844,
186,0,-0.381039,0.34882,0.0462438,0.0683885,
187,0,-0.381058,0.348731,0.0462527,0.0683929,
188,0,-0.381077,0.348645,0.0462615,0.0683972,
189,0,-0.381096,0.348562,0.0462701,0.0684011,
190,0,-0.381115,0.34848,0.0462785,0.0684056,
191,0,-0.381135,0.348401,0.046287,0.0684097,
192,0,-0.381154,0.348324,0.0462953,0.068414,
193,0,-0.381173,0.348249,0.0463035,0.0684181,
194,0,-0.381193,0.348177,0.0463114,0.0684223,
195,0,-0.381212,0.348106,0.0463195,0.0684263,
196,0,-0.381232,0.348037,0.0463272,0.0684306,
197,0,-0.381251,0.34797,0.0463348,0.0684346,
198,0,-0.38127,0.347904,0.0463425,0.0684384,
199,0,-0.381289,0.347841,0.04635,0.0684425,
200,0,-0.381309,0.347779,0.0463573,0.0684465,
201,0,-0.381328,0.347718,0.0463646,0.0684507,
202,0,-0.381347,0.34766,0.0463717,0.0684544,
203,0,-0.381366,0.347602,0.0463789,0.0684583,
204,0,-0.381384,0.347547,0.0463858,0.0684621,
205,0,-0.381403,0.347492,0.0463927,0.0684659,
206,0,-0.381422,0.347439,0.0463994,0.0684696,
207,0,-0.38144,0.347388,0.0464062,0.0684734,
208,0,-0.381458,0.347337,0.0464127,0.068477,
209,0,-0.381476,0.347288,0.0464191,0.0684807,
210,0,-0.381494,0.34724,0.0464255,0.0684842,
211,0,-0.381512,0.347194,0.0464318,0.068488,
212,0,-0.38153,0.347148,0.0464379,0.0684915,
213,0,-0.381547,0.347104,0.0464439,0.0684951,
214,0,-0.381564,0.347061,0.0464499,0.0684985,
215,0,-0.381581,0.347018,0.0464558,0.0685019,
216,0,-0.381598,0.346977,0.0464616,0.0685053,
217,0,-0.381615,0.346937,0.0464673,0.0685084,
218,0,-0.381631,0.346898,0.0464728,0.0685117,
219,0,-0.381648,0.34686,0.0464782,0.068515,
220,0,-0.381664,0.346822,0.0464838,0.0685183,
221,0,-0.38168,0.346786,0.0464891,0.0685215,
222,0,-0.381696,0.34675,0.0464942,0.0685245,
223,0,-0.381711,0.346716,0.0464995,0.0685276,
224,0,-0.381727,0.346682,0.0465045,0.0685308,
225,0,-0.381742,0.346649,0.0465096,0.0685335,
226,0,-0.381757,0.346616,0.0465144,0.0685366,
227,0,-0.381772,0.346585,0.0465192,0.0685394,
228,0,-0.381786,0.346554,0.0465239,0.0685424,
229,0,-0.381801,0.346524,0.0465287,0.0685453,
230,0,-0.381815,0.346494,0.0465331,0.0685482,
231,0,-0.381829,0.346466,0.0465376,0.0685508,
232,0,-0.381843,0.346438,0.0465421,0.0685534,
233,0,-0.381856,0.34641,0.0465465,0.0685561,
234,0,-0.38187,0.346383,0.0465508,0.0685587,
235,0,-0.381883,0.346357,0.0465551,0.0685613,
236,0,-0.381896,0.346332,0.0465592,0.0685638,
237,0,-0.381909,0.346307,0.0465632,0.0685663,
238,0,-0.381921,0.346282,0.0465672,0.0685689,
239,0,-0.381934,0.346258,0.0465712,0.0685713,
240,0,-0.381946,0.346235,0.0465752,0.0685735,
241,0,-0.381958,0.346212,0.0465789,0.068576,
242,0,-0.38197,0.34619,0.0465826,0.0685782,
243,0,-0.381982,0.346168,0.0465863,0.0685805,
244,0,-0.381993,0.346147,0.04659,0.0685825,
245,0,-0.382004,0.346126,0.0465935,0.0685849,
246,0,-0.382016,0.346105,0.0465969,0.0685872,
247,0,-0.382027,0.346085,0.0466003,0.0685894,
248,0,-0.382038,0.346066,0.0466037,0.0685915,
249,0,-0.382048,0.346047,0.046607,0.0685934,
250,0,-0.382059,0.346028,0.0466104,0.0685955,
251,0,-0.382069,0.34601,0.0466133,0.0685973,
252,0,-0.382079,0.345992,0.0466166,0.0685993,
253,0,-0.382089,0.345974,0.0466196,0.0686014,
254,0,-0.382099,0.345957,0.0466226,0.0686034,
255,0,-0.382109,0.345941,0.0466257,0.0686052,
256,0,-0.382118,0.345924,0.0466285,0.068607,
257,0,-0.382127,0.345909,0.0466313,0.0686088,
258,0,-0.382136,0.345893,0.0466342,0.0686104,
259,0,-0.382146,0.345877,0.046637,0.0686126,
260,0,-0.382154,0.345862,0.0466395,0.0686142,
261,0,-0.382163,0.345848,0.0466424,0.0686158,
262,0,-0.382172,0.345833,0.046645,0.0686175,
263,0,-0.38218,0.345819,0.0466475,0.068619,
264,0,-0.382188,0.345806,0.0466501,0.0686206,
265,0,-0.382196,0.345792,0.0466525,0.0686221,
266,0,-0.382205,0.345779,0.046655,0.0686238,
267,0,-0.382212,0.345766,0.0466572,0.0686252,
268,0,-0.38222,0.345754,0.0466595,0.0686268,
269,0,-0.382228,0.345741,0.0466619,0.0686282,
270,0,-0.382235,0.345729,0.0466642,0.0686297,
271,0,-0.382242,0.345717,0.0466664,0.068631,
272,0,-0.38225,0.345706,0.0466687,0.0686324,
273,0,-0.382257,0.345694,0.0466707,0.0686338,
274,0,-0.382264,0.345683,0.0466728,0.0686352,
275,0,-0.38227,0.345672,0.0466748,0.0686364,
276,0,-0.382277,0.345661,0.0466769,0.0686379,
277,0,-0.382284,0.345651,0.0466789,0.0686393,
278,0,-0.38229,0.345641,0.0466807,0.0686404,
279,0,-0.382297,0.345631,0.0466826,0.0686416,
280,0,-0.382303,0.345621,0.0466846,0.0686429,
281,0,-0.382309,0.345611,0.0466865,0.068644,
282,0,-0.382315,0.345602,0.0466882,0.0686451,
283,0,-0.382321,0.345593,0.04669,0.0686465,
284,0,-0.382327,0.345584,0.0466917,0.0686473,
285,0,-0.382333,0.345575,0.0466934,0.0686487,
286,0,-0.382338,0.345566,0.0466951,0.0686499,
287,0,-0.382344,0.345558,0.0466967,0.0686508,
288,0,-0.382349,0.34555,0.0466984,0.0686516,
289,0,-0.382354,0.345542,0.0466999,0.0686527,
290,0,-0.382359,0.345534,0.0467014,0.0686538,
291,0,-0.382364,0.345526,0.046703,0.0686547,
292,0,-0.38237,0.345518,0.0467046,0.0686557,
293,0,-0.382375,0.345511,0.0467062,0.0686566,
294,0,-0.38238,0.345504,0.0467077,0.0686576,
295,0,-0.382384,0.345496,0.046709,0.0686584,
296,0,-0.382389,0.345489,0.0467105,0.0686592,
297,0,-0.382393,0.345483,0.0467118,0.0686601,
298,0,-0.382398,0.345476,0.0467131,0.0686612,
299,0,-0.382402,0.345469,0.0467143,0.068662,
300,0,-0.382407,0.345463,0.0467155,0.0686628,
301,0,-0.382411,0.345456,0.0467168,0.0686635,
302,0,-0.382415,0.34545,0.046718,0.0686644,
303,0,-0.382419,0.345444,0.0467193,0.0686653,
304,0,-0.382423,0.345438,0.0467205,0.068666,
305,0,-0.382427,0.345433,0.0467216,0.0686665,
306,0,-0.382431,0.345427,0.0467228,0.0686673,
307,0,-0.382435,0.345421,0.0467239,0.068668,
308,0,-0.382438,0.345416,0.046725,0.0686689,
309,0,-0.382442,0.34541,0.0467261,0.0686694,
310,0,-0.382446,0.345405,0.0467272,0.0686702,
311,0,-0.382449,0.3454,0.0467283,0.0686708,
312,0,-0.382453,0.345395,0.0467293,0.0686715,
313,0,-0.382456,0.34539,0.0467303,0.0686723,
314,0,-0.382459,0.345385,0.0467314,0.0686729,
315,0,-0.382463,0.34538,0.0467321,0.0686736,
316,0,-0.382466,0.345376,0.0467332,0.0686743,
317,0,-0.382469,0.345371,0.0467341,0.0686748,
318,0,-0.382472,0.345367,0.046735,0.0686753,
319,0,-0.382475,0.345362,0.0467359,0.0686759,
320,0,-0.382478,0.345358,0.0467367,0.0686766,
