Step,RAC,ent1,prop1,ent2,prop2,ent3,prop3,
87,0.0879391,0.093545,1,0.0879391,1,0.0981894,1,
88,0.0881003,0.0935759,0.999995,0.0881003,1.00001,0.0985032,1,
89,0.0882602,0.0936045,1,0.0882602,0.999996,0.0988156,1,
90,0.0884183,0.0936317,0.999995,0.0884183,0.999993,0.0991263,1,
91,0.0885749,0.0936567,1,0.0885749,0.999999,0.0994358,1,
92,0.0887298,0.0936803,1.00001,0.0887298,0.999998,0.0997437,1,
93,0.0888835,0.0937018,1,0.0888835,0.999996,0.10005,1,
94,0.0890353,0.0937218,0.999993,0.0890353,1,0.100355,1,
95,0.089186,0.0937395,0.999999,0.089186,1,0.100658,0.999996,
96,0.0893352,0.0937558,1,0.0893352,1,0.10096,0.999996,
97,0.0894828,0.0937704,1,0.0894828,0.999999,0.10126,1,
98,0.0896286,0.0937833,0.999994,0.0896286,0.999999,0.101559,0.999997,
99,0.0897731,0.0937945,0.999994,0.0897731,0.999998,0.101856,0.999996,
100,0.0899161,0.093804,1,0.0899161,1.00001,0.102152,1,
101,0.0900576,0.0938117,1,0.0900576,0.999996,0.102446,0.999994,
102,0.0901977,0.0938181,0.999992,0.0901977,0.999998,0.102739,1,
103,0.0903363,0.0938224,0.999997,0.0903363,0.999995,0.10303,0.999996,
104,0.0904731,0.0938257,1,0.0904731,0.999999,0.10332,0.999996,
105,0.0906087,0.0938271,1,0.0906087,1,0.103608,1,
106,0.090743,0.0938269,0.999997,0.090743,1,0.103894,1.00001,
107,0.0908755,0.0938253,1,0.0908755,0.999996,0.104179,1,
108,0.0910068,0.0938221,1,0.0910068,1,0.104463,0.999998,
109,0.0911366,0.0938177,0.999991,0.0911366,1,0.104744,0.999998,
110,0.0912653,0.0938113,1.00001,0.0912653,0.999993,0.105025,1,
111,0.091392,0.0938039,0.999994,0.091392,1,0.105304,0.999996,
112,0.0915178,0.0937949,1.00001,0.0915178,0.999996,0.105581,1,
113,0.0916418,0.0937846,0.999988,0.0916418,0.999999,0.105856,0.999997,
114,0.0917647,0.0937726,0.999999,0.0917647,1,0.10613,0.999997,
115,0.091886,0.0937597,1,0.091886,0.999999,0.106403,1,
116,0.0920061,0.0937449,1.00001,0.0920061,0.999996,0.106673,1,
117,0.0921246,0.0937293,1.00001,0.0921246,1,0.106943,1,
118,0.0922418,0.0937122,0.999988,0.0922418,1.00001,0.10721,1,
119,0.0923579,0.0936933,1,0.0923579,0.999996,0.107477,1,
120,0.0924723,0.0936736,1.00001,0.0924723,0.999995,0.107741,0.999999,
121,0.0925854,0.0936527,1.00001,0.0925854,1.00001,0.108004,0.999999,
122,0.0926974,0.0936305,1.00001,0.0926974,1,0.108266,0.999995,
123,0.0928079,0.0936071,1.00001,0.0928079,0.999997,0.108525,0.999996,
124,0.0929171,0.0935825,1.00001,0.0929171,1,0.108784,0.999995,
125,0.093025,0.0935566,1,0.093025,1,0.10904,1,
126,0.0931315,0.0935295,1.00001,0.0931315,0.999994,0.109296,1,
127,0.0932366,0.0935013,1.00001,0.0932366,1,0.109549,0.999997,
128,0.0933408,0.0934718,1.00001,0.0933408,1.00001,0.109801,0.999999,
129,0.0934411,0.0934411,1.00001,0.0934435,1,0.110052,0.999998,
130,0.0934096,0.0934096,0.999993,0.093545,1,0.1103,1,
131,0.0933765,0.0933765,0.999988,0.0936452,0.999996,0.110548,1,
132,0.0933423,0.0933423,0.999997,0.0937442,1,0.110794,1,
133,0.0933072,0.0933072,0.999997,0.0938417,0.999996,0.111038,0.999996,
134,0.0932714,0.0932714,0.99999,0.0939381,1,0.111281,1,
135,0.0932343,0.0932343,0.999994,0.0940332,1.00001,0.111522,0.999999,
136,0.0931962,0.0931962,0.999989,0.0941272,0.999996,0.111761,1,
137,0.0931572,0.0931572,0.999999,0.0942199,1,0.111999,0.999998,
138,0.0931172,0.0931172,1,0.0943114,1,0.112236,1,
139,0.0930763,0.0930763,0.999991,0.0944017,1,0.112471,1,
140,0.0930342,0.0930342,0.999996,0.0944908,1.00001,0.112704,0.999997,
141,0.0929915,0.0929915,0.999994,0.0945786,0.999994,0.112936,1,
142,0.0929477,0.0929477,1.00001,0.0946652,1.00001,0.113166,0.999998,
143,0.0929033,0.0929033,1.00001,0.0947508,0.999996,0.113395,1,
144,0.0928579,0.0928579,1.00001,0.094835,0.999996,0.113622,1,
145,0.0928115,0.0928115,0.999996,0.0949181,0.999997,0.113847,0.999991,
146,0.0927643,0.0927643,1,0.0950001,0.999997,0.114072,1.00001,
147,0.0927161,0.0927161,0.999993,0.0950809,0.999998,0.114294,0.999997,
148,0.0926669,0.0926669,1,0.0951608,1,0.114515,0.999993,
149,0.0926175,0.0926175,1.00001,0.0952392,0.99999,0.114735,0.999997,
