Step,RAC,ent1,ent2,ent3,ent4,
119,0,-0.848219,1.18244,0.419593,0.356502,
120,0,-0.846223,1.1719,0.426429,0.355432,
121,0,-0.844278,1.16151,0.433035,0.354472,
122,0,-0.842379,1.15125,0.439417,0.353617,
123,0,-0.840529,1.14114,0.445578,0.352865,
124,0,-0.838723,1.13117,0.451525,0.352209,
125,0,-0.83696,1.12134,0.457263,0.351646,
126,0,-0.835241,1.11164,0.462797,0.351173,
127,0,-0.833562,1.10208,0.468131,0.350787,
128,0,-0.831923,1.09266,0.473271,0.350484,
129,0,-0.830322,1.08336,0.478221,0.350262,
130,0,-0.828756,1.0742,0.482987,0.350113,
131,0,-0.827226,1.06516,0.487572,0.350038,
132,0,-0.825729,1.05625,0.491982,0.350031,
133,0,-0.824265,1.04746,0.49622,0.350092,
134,0,-0.822832,1.0388,0.500293,0.350214,
135,0,-0.821429,1.03026,0.504202,0.350397,
136,0,-0.820052,1.02183,0.507954,0.350636,
137,0,-0.818703,1.01353,0.511552,0.350929,
138,0,-0.817379,1.00534,0.515001,0.351272,
139,0,-0.816081,0.997267,0.518303,0.351666,
140,0,-0.814806,0.989304,0.521464,0.352105,
141,0,-0.813553,0.981452,0.524487,0.352588,
142,0,-0.812322,0.97371,0.527374,0.353113,
143,0,-0.81111,0.966074,0.530133,0.353675,
144,0,-0.809917,0.958544,0.532764,0.354274,
145,0,-0.808742,0.951118,0.535271,0.354906,
146,0,-0.807584,0.943795,0.537658,0.355571,
147,0,-0.806441,0.936572,0.539929,0.356265,
148,0,-0.805313,0.929447,0.542086,0.356986,
149,0,-0.804199,0.92242,0.544134,0.357733,
150,0,-0.803097,0.915488,0.546075,0.358504,
151,0,-0.802006,0.90865,0.547912,0.359297,
152,0,-0.800927,0.901904,0.549648,0.360109,
153,0,-0.799858,0.895248,0.551285,0.360941,
154,0,-0.798799,0.888683,0.552827,0.361789,
155,0,-0.797747,0.882204,0.554278,0.362652,
156,0,-0.796703,0.875813,0.555638,0.363528,
157,0,-0.795666,0.869505,0.556912,0.364417,
158,0,-0.794636,0.863281,0.558101,0.365317,
159,0,-0.793611,0.857137,0.559208,0.366226,
160,0,-0.792591,0.851074,0.560235,0.367143,
161,0,-0.791574,0.84509,0.561186,0.368067,
162,0,-0.790562,0.839183,0.562061,0.368997,
163,0,-0.789551,0.833352,0.562864,0.369931,
164,0,-0.788543,0.827595,0.563596,0.370868,
165,0,-0.787537,0.821911,0.56426,0.371808,
166,0,-0.786532,0.816299,0.564858,0.372749,
167,0,-0.785527,0.810758,0.565392,0.37369,
168,0,-0.784522,0.805285,0.565863,0.374631,
169,0,-0.783517,0.79988,0.566274,0.375571,
170,0,-0.78251,0.794542,0.566626,0.376507,
171,0,-0.781502,0.789269,0.566922,0.377441,
172,0,-0.780493,0.784061,0.567162,0.378371,
173,0,-0.77948,0.778916,0.567349,0.379296,
174,0,-0.778467,0.773832,0.567485,0.380217,
175,0,-0.777451,0.768809,0.56757,0.381132,
176,0,-0.77643,0.763845,0.567607,0.38204,
177,0,-0.775405,0.75894,0.567597,0.382941,
178,0,-0.774376,0.754091,0.567541,0.383834,
179,0,-0.773343,0.749299,0.567441,0.38472,
180,0,-0.772306,0.744562,0.567299,0.385597,
181,0,-0.771263,0.739878,0.567115,0.386464,
182,0,-0.770215,0.735249,0.56689,0.387322,
183,0,-0.769162,0.73067,0.566627,0.388171,
184,0,-0.768103,0.726143,0.566327,0.389009,
185,0,-0.767037,0.721667,0.565989,0.389836,
