Step,1,2,3,4,5,6,1+3=4,2+3=5,1+5=6,2+4=6,3+3=6,RAC0,RAC1,RAC2,RAC3,
46,9.52791,44.8038,0.118272,3.11378,0.381357,1.52968,1.06796,2.49497,2.11593,-0.393222,-1.52731,0,0.379045,0,0,
47,9.68618,44.494,0.117565,3.17077,0.374118,1.53178,1.07921,2.46537,2.10386,-0.382226,-1.5296,0,0.361508,0,0,
48,9.84344,44.1856,0.116867,3.22748,0.367152,1.53372,1.09021,2.43603,2.09199,-0.371413,-1.53171,0,0.344033,0,0,
49,9.99972,43.8786,0.116178,3.28389,0.360442,1.5355,1.10096,2.40695,2.08031,-0.360787,-1.53365,0,0.326637,0,0,
50,10.155,43.573,0.115498,3.34002,0.353976,1.53713,1.11147,2.37815,2.06882,-0.350356,-1.53543,0,0.309329,0,0,
51,10.3093,43.2688,0.114827,3.39587,0.347741,1.53862,1.12175,2.34962,2.0575,-0.340123,-1.53706,0,0.292122,0,0,
52,10.4627,42.9661,0.114164,3.45142,0.341723,1.53997,1.1318,2.32138,2.04636,-0.330091,-1.53854,0,0.275024,0,0,
53,10.6151,42.6648,0.11351,3.50669,0.335912,1.54118,1.14162,2.29343,2.03538,-0.320263,-1.53989,0,0.258045,0,0,
54,10.7666,42.3649,0.112863,3.56167,0.330297,1.54228,1.15123,2.26576,2.02457,-0.31064,-1.54111,0,0.241192,0,0,
55,10.9171,42.0664,0.112225,3.61637,0.324868,1.54324,1.16062,2.23837,2.0139,-0.301222,-1.5422,0,0.224471,0,0,
56,11.0668,41.7693,0.111594,3.67078,0.319616,1.54409,1.16981,2.21128,2.00339,-0.29201,-1.54317,0,0.207887,0,0,
57,11.2155,41.4737,0.11097,3.72491,0.314531,1.54483,1.17878,2.18446,1.99301,-0.283002,-1.54402,0,0.191448,0,0,
58,11.3633,41.1796,0.110354,3.77876,0.309605,1.54545,1.18755,2.15793,1.98278,-0.274197,-1.54476,0,0.175155,0,0,
59,11.5102,40.8869,0.109744,3.83233,0.30483,1.54596,1.19612,2.13168,1.97267,-0.265593,-1.54538,0,0.159014,0,0,
60,11.6562,40.5956,0.109141,3.88562,0.3002,1.54637,1.2045,2.10571,1.96268,-0.257189,-1.5459,0,0.143029,0,0,
61,11.8013,40.3058,0.108543,3.93863,0.295706,1.54667,1.21267,2.08001,1.95281,-0.248982,-1.5463,0,0.127201,0,0,
62,11.9456,40.0175,0.107952,3.99137,0.291343,1.54687,1.22065,2.05458,1.94305,-0.24097,-1.5466,0,0.111535,0,0,
63,12.089,39.7306,0.107367,4.04383,0.287104,1.54696,1.22845,2.02943,1.93339,-0.233149,-1.5468,0,0.0960327,0,0,
64,12.2316,39.4452,0.106787,4.09602,0.282983,1.54695,1.23605,2.00453,1.92384,-0.225516,-1.5469,0,0.0806954,0,0,
65,12.3733,39.1613,0.106212,4.14794,0.278975,1.54685,1.24346,1.9799,1.91437,-0.218069,-1.54689,0,0.0655279,0,0,
66,12.5142,38.8788,0.105642,4.19959,0.275074,1.54664,1.25069,1.95552,1.90499,-0.210804,-1.54678,0,0.0505277,0,0,
67,12.6543,38.5977,0.105076,4.25098,0.271276,1.54633,1.25773,1.9314,1.8957,-0.203717,-1.54658,0,0.0357003,0,0,
68,12.7936,38.3182,0.104515,4.30209,0.267576,1.54593,1.26459,1.90752,1.88648,-0.196805,-1.54627,0,0.0210447,0,0,
69,12.9321,38.0401,0.103958,4.35294,0.263969,1.54542,1.27126,1.88389,1.87733,-0.190065,-1.54586,0,0.00656319,0,0,
70,13.0698,37.7635,0.103405,4.40352,0.260451,1.54482,1.27776,1.86051,1.86825,-0.183492,-1.54536,0,0,0,0,
71,13.2068,37.4884,0.102856,4.45383,0.257019,1.54412,1.28407,1.83736,1.85923,-0.177084,-1.54476,0,0,0,0,
72,13.343,37.2148,0.10231,4.50388,0.253669,1.54333,1.29021,1.81444,1.85027,-0.170836,-1.54406,0,0,0,0,
73,13.4784,36.9426,0.101807,4.55366,0.250357,1.54243,1.29617,1.79176,1.84136,-0.164745,-1.54327,0,0,0,0,
74,13.6131,36.6727,0.101983,4.60321,0.246443,1.54142,1.30247,1.77012,1.83198,-0.158806,-1.54237,0,0,0,0,
75,13.7471,36.4042,0.101658,4.65297,0.2431,1.53982,1.31782,1.76273,1.81344,-0.152957,-1.54136,0,0,0,0,
76,13.8803,36.1376,0.101639,4.70258,0.23945,1.53806,1.32626,1.74501,1.8021,-0.146627,-1.53976,0,0,0,0,
77,14.0129,35.8727,0.101382,4.75225,0.236074,1.53589,1.33878,1.73374,1.78557,-0.140323,-1.53801,0,0,0,0,
78,14.1448,35.6096,0.101255,4.80178,0.232576,1.5335,1.34789,1.7177,1.77218,-0.133744,-1.53583,0,0,0,0,
79,14.2761,35.3482,0.101011,4.85127,0.229224,1.53077,1.35872,1.70445,1.75624,-0.127125,-1.53344,0,0,0,0,
80,14.4068,35.0885,0.100818,4.90062,0.225838,1.5278,1.36777,1.68894,1.74165,-0.120332,-1.53071,0,0,0,0,
81,14.5369,34.8306,0.100563,4.94986,0.222538,1.52454,1.37743,1.6746,1.72579,-0.113481,-1.52774,0,0,0,0,
82,14.6666,34.5744,0.100322,4.99892,0.219242,1.52105,1.38609,1.65915,1.71047,-0.106517,-1.52449,0,0,0,0,
83,14.7957,34.3199,0.100046,5.04782,0.216007,1.5173,1.39485,1.64414,1.69449,-0.0994992,-1.52099,0,0,0,0,
84,14.9244,34.0672,0.0997685,5.09652,0.212794,1.51331,1.40297,1.62857,1.67868,-0.0924077,-1.51724,0,0,0,0,
85,15.0526,33.8161,0.0994673,5.145,0.209627,1.5091,1.41095,1.61312,1.6625,-0.0852746,-1.51326,0,0,0,0,
86,15.1804,33.5668,0.099158,5.19326,0.206491,1.50467,1.41847,1.59736,1.64634,-0.0780962,-1.50904,0,0,0,0,
87,15.3079,33.3192,0.098831,5.24127,0.203396,1.50002,1.42575,1.58159,1.62996,-0.0708915,-1.50461,0,0,0,0,
88,15.435,33.0733,0.0984932,5.28901,0.200334,1.49516,1.43265,1.56564,1.61354,-0.063663,-1.49996,0,0,0,0,
89,15.5617,32.8291,0.0981407,5.33648,0.197311,1.49011,1.43926,1.54965,1.59699,-0.0564237,-1.49511,0,0,0,0,
90,15.6881,32.5865,0.0977768,5.38365,0.194322,1.48487,1.44553,1.53353,1.58038,-0.0491786,-1.49006,0,0,0,0,
91,15.8142,32.3457,0.0973998,5.43052,0.19137,1.47944,1.45151,1.51736,1.56367,-0.041937,-1.48482,0,0,0,0,
92,15.9401,32.1066,0.0970114,5.47706,0.188452,1.47384,1.45716,1.50111,1.54692,-0.0347043,-1.47939,0,0,0,0,
93,16.0657,31.8691,0.0966111,5.52327,0.18557,1.46806,1.46251,1.48482,1.53011,-0.0274884,-1.47378,0,0,0,0,
94,16.191,31.6333,0.0961998,5.56914,0.182723,1.46211,1.46756,1.46847,1.51325,-0.0202944,-1.468,0,0,0,0,
95,16.3162,31.3992,0.0957774,5.61465,0.179911,1.45601,1.47231,1.45209,1.49636,-0.0131284,-1.46206,0,0,0,0,
96,16.4411,31.1667,0.0953445,5.65978,0.177133,1.44975,1.47676,1.43568,1.47945,-0.00599551,-1.45596,0,0,0,0,
97,16.5659,30.9359,0.0949013,5.70454,0.174389,1.44334,1.48092,1.41925,1.46251,0.00109899,-1.4497,0,0,0,0,
98,16.6905,30.7068,0.0944481,5.74891,0.17168,1.43679,1.48479,1.40281,1.44557,0.00815046,-1.44329,0,0,0,0,
99,16.8149,30.4793,0.0939853,5.79288,0.169004,1.43011,1.48837,1.38636,1.42862,0.0151545,-1.43674,0,0,0,0,
100,16.9392,30.2535,0.0935131,5.83644,0.166362,1.42329,1.49167,1.36991,1.41168,0.0221069,-1.43006,0,0,0,0,
101,17.0634,30.0292,0.093032,5.87957,0.163753,1.41634,1.49468,1.35348,1.39475,0.0290041,-1.42324,0,0,0,0,
102,17.1875,29.8066,0.092542,5.92229,0.161177,1.40927,1.49742,1.33706,1.37784,0.0358422,-1.41629,0,0,0,0,
103,17.3115,29.5857,0.0920436,5.96456,0.158634,1.40208,1.49989,1.32066,1.36096,0.0426178,-1.40922,0,0,0,0,
104,17.4353,29.3663,0.0915371,6.00639,0.156124,1.39479,1.50209,1.3043,1.34411,0.0493281,-1.40204,0,0,0,0,
105,17.5592,29.1486,0.0910226,6.04777,0.153646,1.38738,1.50402,1.28797,1.32729,0.0559695,-1.39474,0,0,0,0,
106,17.6829,28.9324,0.0905007,6.08869,0.151201,1.37987,1.50569,1.27169,1.31053,0.0625397,-1.38733,0,0,0,0,
107,17.8066,28.7179,0.0899714,6.12915,0.148788,1.37226,1.5071,1.25545,1.29381,0.0690361,-1.37982,0,0,0,0,
108,17.9303,28.5049,0.089435,6.16913,0.146406,1.36456,1.50825,1.23927,1.27715,0.0754561,-1.37221,0,0,0,0,
109,18.054,28.2935,0.088892,6.20863,0.144056,1.35676,1.50915,1.22314,1.26055,0.0817976,-1.36451,0,0,0,0,
110,18.1776,28.0837,0.0883425,6.24765,0.141737,1.34888,1.5098,1.20708,1.24402,0.0880584,-1.35672,0,0,0,0,
111,18.3012,27.8755,0.0877869,6.28618,0.139449,1.34092,1.5102,1.19109,1.22756,0.0942365,-1.34884,0,0,0,0,
112,18.4248,27.6688,0.0872253,6.32422,0.137193,1.33289,1.51036,1.17518,1.21117,0.10033,-1.34088,0,0,0,0,
113,18.5484,27.4637,0.0866581,6.36175,0.134967,1.32477,1.51029,1.15934,1.19487,0.106338,-1.33284,0,0,0,0,
114,18.6721,27.2601,0.0860856,6.39878,0.132771,1.31659,1.50997,1.14358,1.17865,0.112257,-1.32473,0,0,0,0,
115,18.7957,27.058,0.0855079,6.43529,0.130606,1.30835,1.50943,1.12792,1.16252,0.118088,-1.31655,0,0,0,0,
116,18.9194,26.8575,0.0849254,6.4713,0.128471,1.30004,1.50866,1.11234,1.14649,0.123828,-1.3083,0,0,0,0,
117,19.0431,26.6585,0.0843384,6.50678,0.126365,1.29167,1.50766,1.09686,1.13055,0.129477,-1.3,0,0,0,0,
118,19.1669,26.461,0.083747,6.54175,0.124289,1.28325,1.50645,1.08148,1.11472,0.135032,-1.29163,0,0,0,0,
119,19.2907,26.265,0.0831516,6.57618,0.122243,1.27477,1.50501,1.0662,1.09899,0.140494,-1.28321,0,0,0,0,
120,19.4145,26.0705,0.0825524,6.61009,0.120225,1.26625,1.50337,1.05103,1.08337,0.145862,-1.27474,0,0,0,0,
121,19.5384,25.8775,0.0819496,6.64347,0.118236,1.25769,1.50151,1.03597,1.06786,0.151133,-1.26622,0,0,0,0,
122,19.6624,25.686,0.0813435,6.67632,0.116277,1.24908,1.49945,1.02102,1.05246,0.156309,-1.25765,0,0,0,0,
123,19.7864,25.496,0.0807344,6.70862,0.114345,1.24044,1.49719,1.00618,1.03719,0.161387,-1.24905,0,0,0,0,
124,19.9105,25.3074,0.0801225,6.74039,0.112442,1.23176,1.49473,0.991463,1.02203,0.166368,-1.2404,0,0,0,0,
125,20.0346,25.1202,0.0795079,6.77162,0.110566,1.22306,1.49208,0.976866,1.007,0.171252,-1.23173,0,0,0,0,
126,20.1592,24.9345,0.0790287,6.80217,0.10891,1.21413,1.48924,0.962393,0.9921,0.176036,-1.22302,0,0,0,0,
127,20.2846,24.7501,0.0787962,6.83181,0.107834,1.20472,1.48901,0.949698,0.981409,0.180886,-1.21409,0,0,0,0,
128,20.4101,24.567,0.0783715,6.86079,0.106876,1.19549,1.49375,0.939855,0.982655,0.186011,-1.20469,0,0,0,0,
129,20.5357,24.3851,0.0780918,6.88893,0.105797,1.1865,1.49453,0.927456,0.985853,0.190811,-1.19545,0,0,0,0,
130,20.6614,24.2045,0.0777279,6.91641,0.104839,1.17759,1.4982,0.917213,0.986111,0.195181,-1.18646,0,0,0,0,
131,20.7871,24.0251,0.0774276,6.94315,0.103829,1.16887,1.50007,0.905862,0.988522,0.199321,-1.17756,0,0,0,0,
132,20.913,23.847,0.077095,6.96925,0.102879,1.16025,1.5032,0.895507,0.989441,0.203126,-1.16884,0,0,0,0,
133,21.0389,23.6702,0.0767897,6.99468,0.101915,1.15175,1.50558,0.884788,0.991255,0.206699,-1.16021,0,0,0,0,
134,21.1648,23.4946,0.0764732,7.01948,0.100981,1.14335,1.50848,0.874546,0.992414,0.210007,-1.15172,0,0,0,0,
135,21.2907,23.3203,0.0761687,7.04367,0.100049,1.13505,1.51107,0.864242,0.993888,0.213101,-1.14332,0,0,0,0,
136,21.4167,23.1473,0.0758609,7.06727,0.0991347,1.12684,1.51385,0.854198,0.995058,0.215976,-1.13502,0,0,0,0,
137,21.5426,22.9755,0.0755583,7.09029,0.0982271,1.1187,1.51648,0.844203,0.996298,0.218659,-1.1268,0,0,0,0,
138,21.6686,22.8049,0.0752552,7.11274,0.0973319,1.11064,1.51917,0.834374,0.997367,0.221156,-1.11867,0,0,0,0,
139,21.7945,22.6356,0.0749544,7.13464,0.0964446,1.10264,1.52177,0.824633,0.998404,0.223485,-1.11061,0,0,0,0,
140,21.9204,22.4675,0.0746535,7.156,0.0955668,1.0947,1.52436,0.815017,0.999318,0.225654,-1.10261,0,0,0,0,
141,22.0463,22.3007,0.0743535,7.17683,0.0946968,1.08682,1.52687,0.805495,1.00016,0.227675,-1.09467,0,0,0,0,
142,22.1721,22.1351,0.0740534,7.19714,0.0938348,1.07899,1.52934,0.796081,1.00089,0.229557,-1.08679,0,0,0,0,
143,22.2979,21.9707,0.0737533,7.21695,0.09298,1.07121,1.53173,0.786759,1.00152,0.23131,-1.07896,0,0,0,0,
144,22.4236,21.8075,0.0734528,7.23625,0.0921323,1.06347,1.53405,0.777532,1.00205,0.232942,-1.07118,0,0,0,0,
145,22.5493,21.6456,0.0731518,7.25507,0.0912912,1.05577,1.53629,0.768394,1.00247,0.23446,-1.06344,0,0,0,0,
146,22.675,21.4848,0.0728499,7.2734,0.0904565,1.04811,1.53845,0.759345,1.00279,0.235871,-1.05574,0,0,0,0,
147,22.8005,21.3253,0.0725473,7.29126,0.0896278,1.04048,1.54051,0.750379,1.00299,0.237182,-1.04808,0,0,0,0,
148,22.9261,21.167,0.0722435,7.30864,0.088805,1.03288,1.54249,0.741497,1.00309,0.2384,-1.04045,0,0,0,0,
149,23.0515,21.0099,0.0719387,7.32557,0.0879879,1.02532,1.54436,0.732696,1.00307,0.239528,-1.03285,0,0,0,0,
150,23.1769,20.8539,0.0716325,7.34203,0.0871762,1.01778,1.54614,0.723974,1.00294,0.240572,-1.02529,0,0,0,0,
151,23.3022,20.6992,0.071325,7.35805,0.0863698,1.01027,1.54781,0.715329,1.00269,0.241538,-1.01775,0,0,0,0,
152,23.4274,20.5456,0.071016,7.37361,0.0855685,1.00279,1.54938,0.706761,1.00234,0.242429,-1.01024,0,0,0,0,
153,23.5526,20.3932,0.0707056,7.38874,0.0847723,0.995328,1.55083,0.698268,1.00187,0.243248,-1.00276,0,0,0,0,
154,23.6777,20.242,0.0703936,7.40342,0.083981,0.987893,1.55218,0.689848,1.00128,0.244001,-0.995299,0,0,0,0,
155,23.8027,20.0919,0.07008,7.41768,0.0831945,0.98048,1.55341,0.681502,1.00058,0.244691,-0.987864,0,0,0,0,
156,23.9276,19.943,0.0697647,7.4315,0.0824128,0.973091,1.55453,0.673228,0.999773,0.245319,-0.980452,0,0,0,0,
157,24.0525,19.7952,0.0694479,7.4449,0.0816357,0.965723,1.55553,0.665025,0.998851,0.24589,-0.973063,0,0,0,0,
158,24.1772,19.6485,0.0691293,7.45787,0.0808633,0.958377,1.55641,0.656894,0.997817,0.246406,-0.965696,0,0,0,0,
159,24.3019,19.503,0.0688091,7.47043,0.0800955,0.951053,1.55717,0.648832,0.996672,0.246869,-0.95835,0,0,0,0,
160,24.4264,19.3586,0.0684872,7.48257,0.0793322,0.943749,1.55782,0.640841,0.995418,0.247282,-0.951026,0,0,0,0,
161,24.5509,19.2153,0.0681636,7.4943,0.0785735,0.936467,1.55834,0.632919,0.994055,0.247647,-0.943722,0,0,0,0,
162,24.6753,19.0732,0.0678384,7.50562,0.0778192,0.929205,1.55874,0.625066,0.992585,0.247966,-0.93644,0,0,0,0,
163,24.7996,18.9321,0.0675115,7.51654,0.0770694,0.921965,1.55902,0.617283,0.991008,0.24824,-0.929179,0,0,0,0,
164,24.9238,18.7922,0.067183,7.52705,0.0763241,0.914746,1.55918,0.609567,0.989327,0.248472,-0.921939,0,0,0,0,
165,25.0479,18.6533,0.0668529,7.53716,0.0755832,0.907549,1.55922,0.60192,0.987542,0.248663,-0.91472,0,0,0,0,
