Step,RAC,ent1,ent2,ent3,
154,0,0.35374,0.0458854,-0.132982,
155,0,0.353492,0.0458996,-0.132781,
156,0,0.353254,0.0459133,-0.132586,
157,0,0.353024,0.0459269,-0.132397,
158,0,0.352802,0.0459403,-0.132213,
159,0,0.352589,0.0459533,-0.132034,
160,0,0.352382,0.0459662,-0.13186,
161,0,0.352183,0.0459788,-0.131691,
162,0,0.35199,0.0459913,-0.131527,
163,0,0.351804,0.0460036,-0.131367,
164,0,0.351623,0.0460156,-0.131212,
165,0,0.351449,0.0460276,-0.13106,
166,0,0.351281,0.0460393,-0.130913,
167,0,0.351118,0.0460507,-0.13077,
168,0,0.35096,0.0460622,-0.130631,
169,0,0.350807,0.0460735,-0.130495,
170,0,0.350659,0.0460846,-0.130363,
171,0,0.350516,0.0460957,-0.130234,
172,0,0.350377,0.0461065,-0.130109,
173,0,0.350243,0.0461172,-0.129987,
174,0,0.350112,0.0461277,-0.129868,
175,0,0.349986,0.0461381,-0.129753,
176,0,0.349863,0.0461483,-0.12964,
177,0,0.349744,0.0461584,-0.12953,
178,0,0.349629,0.0461684,-0.129423,
179,0,0.349517,0.0461783,-0.129318,
180,0,0.349409,0.0461879,-0.129216,
181,0,0.349303,0.0461977,-0.129117,
182,0,0.349201,0.0462071,-0.129021,
183,0,0.349102,0.0462165,-0.128926,
184,0,0.349005,0.0462257,-0.128834,
185,0,0.348911,0.0462348,-0.128744,
186,0,0.34882,0.0462438,-0.128657,
187,0,0.348731,0.0462527,-0.128571,
188,0,0.348645,0.0462615,-0.128488,
189,0,0.348562,0.0462701,-0.128407,
190,0,0.34848,0.0462785,-0.128327,
191,0,0.348401,0.046287,-0.12825,
192,0,0.348324,0.0462953,-0.128175,
193,0,0.348249,0.0463035,-0.128101,
194,0,0.348177,0.0463114,-0.128029,
195,0,0.348106,0.0463195,-0.127959,
196,0,0.348037,0.0463272,-0.12789,
197,0,0.34797,0.0463348,-0.127823,
198,0,0.347904,0.0463425,-0.127758,
199,0,0.347841,0.04635,-0.127694,
200,0,0.347779,0.0463573,-0.127631,
201,0,0.347718,0.0463646,-0.12757,
202,0,0.34766,0.0463717,-0.127511,
203,0,0.347602,0.0463789,-0.127453,
204,0,0.347547,0.0463858,-0.127396,
205,0,0.347492,0.0463927,-0.12734,
206,0,0.347439,0.0463994,-0.127286,
207,0,0.347388,0.0464062,-0.127233,
208,0,0.347337,0.0464127,-0.127181,
209,0,0.347288,0.0464191,-0.127131,
210,0,0.34724,0.0464255,-0.127082,
211,0,0.347194,0.0464318,-0.127033,
212,0,0.347148,0.0464379,-0.126986,
213,0,0.347104,0.0464439,-0.12694,
214,0,0.347061,0.0464499,-0.126895,
215,0,0.347018,0.0464558,-0.12685,
216,0,0.346977,0.0464616,-0.126807,
217,0,0.346937,0.0464673,-0.126765,
218,0,0.346898,0.0464728,-0.126724,
219,0,0.34686,0.0464782,-0.126683,
220,0,0.346822,0.0464838,-0.126644,
221,0,0.346786,0.0464891,-0.126605,
222,0,0.34675,0.0464942,-0.126568,
223,0,0.346716,0.0464995,-0.126531,
224,0,0.346682,0.0465045,-0.126495,
225,0,0.346649,0.0465096,-0.12646,
226,0,0.346616,0.0465144,-0.126425,
227,0,0.346585,0.0465192,-0.126391,
228,0,0.346554,0.0465239,-0.126358,
229,0,0.346524,0.0465287,-0.126326,
230,0,0.346494,0.0465331,-0.126294,
231,0,0.346466,0.0465376,-0.126263,
232,0,0.346438,0.0465421,-0.126233,
233,0,0.34641,0.0465465,-0.126203,
234,0,0.346383,0.0465508,-0.126174,
235,0,0.346357,0.0465551,-0.126146,
236,0,0.346332,0.0465592,-0.126118,
237,0,0.346307,0.0465632,-0.126091,
238,0,0.346282,0.0465672,-0.126064,
239,0,0.346258,0.0465712,-0.126038,
240,0,0.346235,0.0465752,-0.126013,
241,0,0.346212,0.0465789,-0.125988,
242,0,0.34619,0.0465826,-0.125963,
243,0,0.346168,0.0465863,-0.125939,
244,0,0.346147,0.04659,-0.125916,
245,0,0.346126,0.0465935,-0.125893,
246,0,0.346105,0.0465969,-0.125871,
247,0,0.346085,0.0466003,-0.125848,
248,0,0.346066,0.0466037,-0.125827,
249,0,0.346047,0.046607,-0.125806,
250,0,0.346028,0.0466104,-0.125785,
251,0,0.34601,0.0466133,-0.125765,
252,0,0.345992,0.0466166,-0.125746,
253,0,0.345974,0.0466196,-0.125726,
254,0,0.345957,0.0466226,-0.125707,
255,0,0.345941,0.0466257,-0.125689,
256,0,0.345924,0.0466285,-0.12567,
257,0,0.345909,0.0466313,-0.125653,
258,0,0.345893,0.0466342,-0.125635,
259,0,0.345877,0.046637,-0.125618,
260,0,0.345862,0.0466395,-0.125601,
261,0,0.345848,0.0466424,-0.125585,
262,0,0.345833,0.046645,-0.125569,
263,0,0.345819,0.0466475,-0.125553,
264,0,0.345806,0.0466501,-0.125538,
265,0,0.345792,0.0466525,-0.125523,
266,0,0.345779,0.046655,-0.125508,
267,0,0.345766,0.0466572,-0.125494,
268,0,0.345754,0.0466595,-0.125479,
269,0,0.345741,0.0466619,-0.125466,
270,0,0.345729,0.0466642,-0.125452,
271,0,0.345717,0.0466664,-0.125439,
272,0,0.345706,0.0466687,-0.125426,
273,0,0.345694,0.0466707,-0.125413,
274,0,0.345683,0.0466728,-0.1254,
275,0,0.345672,0.0466748,-0.125388,
276,0,0.345661,0.0466769,-0.125376,
277,0,0.345651,0.0466789,-0.125364,
278,0,0.345641,0.0466807,-0.125353,
279,0,0.345631,0.0466826,-0.125341,
280,0,0.345621,0.0466846,-0.12533,
281,0,0.345611,0.0466865,-0.125319,
282,0,0.345602,0.0466882,-0.125309,
283,0,0.345593,0.04669,-0.125298,
284,0,0.345584,0.0466917,-0.125288,
285,0,0.345575,0.0466934,-0.125278,
286,0,0.345566,0.0466951,-0.125268,
287,0,0.345558,0.0466967,-0.125259,
288,0,0.34555,0.0466984,-0.125249,
289,0,0.345542,0.0466999,-0.12524,
290,0,0.345534,0.0467014,-0.125231,
291,0,0.345526,0.046703,-0.125222,
292,0,0.345518,0.0467046,-0.125214,
293,0,0.345511,0.0467062,-0.125205,
294,0,0.345504,0.0467077,-0.125197,
295,0,0.345496,0.046709,-0.125189,
296,0,0.345489,0.0467105,-0.125181,
297,0,0.345483,0.0467118,-0.125173,
298,0,0.345476,0.0467131,-0.125165,
299,0,0.345469,0.0467143,-0.125158,
300,0,0.345463,0.0467155,-0.12515,
301,0,0.345456,0.0467168,-0.125143,
302,0,0.34545,0.046718,-0.125136,
303,0,0.345444,0.0467193,-0.125129,
304,0,0.345438,0.0467205,-0.125122,
305,0,0.345433,0.0467216,-0.125115,
306,0,0.345427,0.0467228,-0.125109,
307,0,0.345421,0.0467239,-0.125103,
308,0,0.345416,0.046725,-0.125096,
309,0,0.34541,0.0467261,-0.12509,
310,0,0.345405,0.0467272,-0.125084,
311,0,0.3454,0.0467283,-0.125078,
312,0,0.345395,0.0467293,-0.125072,
313,0,0.34539,0.0467303,-0.125066,
314,0,0.345385,0.0467314,-0.125061,
315,0,0.34538,0.0467321,-0.125055,
316,0,0.345376,0.0467332,-0.12505,
317,0,0.345371,0.0467341,-0.125045,
318,0,0.345367,0.046735,-0.12504,
319,0,0.345362,0.0467359,-0.125035,
320,0,0.345358,0.0467367,-0.12503,
