Step,RAC,ent1,ent2,ent3,
1,0,-0.001002,0.001,1e-06,
2,0,-0.000427809,0.00034849,0.000116575,
3,0,-8.68858e-05,0.000118092,7.21966e-05,
4,1.47739e-05,8.78675e-05,5.31768e-05,1.47739e-05,
5,0,0.000174469,4.30241e-05,-2.4214e-05,
6,0,0.000222615,4.67914e-05,-4.70993e-05,
7,0,0.000256765,5.25251e-05,-6.12143e-05,
8,0,0.000287031,5.79703e-05,-7.16004e-05,
9,0,0.000317123,6.32347e-05,-8.07501e-05,
10,0,0.000348379,6.86542e-05,-8.97018e-05,
11,0,0.000381395,7.44234e-05,-9.88659e-05,
12,0,0.000416573,8.06347e-05,-0.000108429,
13,0,0.000454275,8.73441e-05,-0.000118512,
14,0,0.000494867,9.46005e-05,-0.000129217,
15,0,0.000538728,0.000102457,-0.000140646,
16,0,0.000586262,0.000110973,-0.000152903,
17,0,0.000637897,0.000120217,-0.000166096,
18,0,0.0006941,0.000130261,-0.000180341,
19,0,0.000755374,0.000141188,-0.000195761,
20,0,0.00082227,0.000153088,-0.000212489,
21,0,0.000895392,0.000166061,-0.00023067,
22,0,0.000975402,0.000180217,-0.00025046,
23,0,0.00106303,0.000195676,-0.000272032,
24,0,0.00115908,0.000212571,-0.000295574,
25,0,0.00126443,0.000231051,-0.000321294,
26,0,0.00138006,0.000251275,-0.000349418,
27,0,0.00150707,0.000273425,-0.0003802,
28,0,0.00164662,0.000297696,-0.000413915,
29,0,0.00180006,0.000324306,-0.00045087,
30,0,0.00196884,0.000353496,-0.000491404,
31,0,0.00215458,0.000385532,-0.000535889,
32,0,0.00235907,0.000420706,-0.000584741,
33,0,0.00258429,0.000459342,-0.000638417,
34,0,0.00283244,0.0005018,-0.000697425,
35,0,0.00310595,0.000548473,-0.000762327,
36,0,0.00340752,0.0005998,-0.000833748,
37,0,0.00374013,0.000656263,-0.000912377,
38,0,0.00410708,0.000718394,-0.000998982,
39,0,0.00451205,0.000786785,-0.00109441,
40,0,0.00495908,0.000862087,-0.00119962,
41,0,0.00545268,0.000945014,-0.00131564,
42,0,0.00599782,0.00103637,-0.00144365,
43,0,0.00660003,0.00113702,-0.00158494,
44,0,0.00726539,0.00124793,-0.00174095,
45,0,0.0080007,0.00137018,-0.00191328,
46,0,0.00881341,0.00150493,-0.00210371,
47,0,0.00971183,0.00165349,-0.00231423,
48,0,0.0107051,0.00181728,-0.00254702,
49,0,0.0118034,0.00199788,-0.00280456,
50,0,0.0130178,0.00219698,-0.00308956,
51,0,0.0143609,0.00241652,-0.00340508,
52,0,0.0158461,0.00265856,-0.00375451,
53,0,0.0174886,0.00292537,-0.00414162,
54,0,0.0193051,0.00321946,-0.00457064,
55,0,0.0213137,0.00354354,-0.00504625,
56,0,0.0235346,0.00390059,-0.00557372,
57,0,0.0259899,0.00429384,-0.00615888,
58,0,0.0287038,0.00472678,-0.00680826,
59,0,0.031703,0.00520322,-0.00752915,
60,0,0.0350164,0.00572724,-0.00832964,
61,0,0.0386758,0.00630321,-0.0092188,
62,0,0.0427156,0.00693585,-0.0102067,
63,0,0.0471733,0.00763015,-0.0113047,
64,0,0.0520894,0.00839135,-0.0125252,
65,0,0.0575076,0.00922498,-0.0138821,
66,0,0.0634746,0.0101367,-0.0153908,
67,0,0.0700405,0.0111325,-0.0170686,
68,0,0.0772584,0.0122182,-0.0189343,
69,0,0.085184,0.0133996,-0.0210087,
70,0,0.0938756,0.0146823,-0.0233147,
71,0,0.103393,0.0160716,-0.0258771,
72,0,0.113799,0.0175719,-0.028723,
73,0,0.125152,0.0191867,-0.0318813,
74,0,0.137514,0.0209181,-0.0353829,
75,0,0.150939,0.0227663,-0.0392601,
76,0,0.16548,0.0247292,-0.0435461,
77,0,0.181176,0.0268017,-0.0482742,
78,0,0.198059,0.0289748,-0.0534766,
79,0,0.216139,0.0312355,-0.059183,
80,0,0.235409,0.0335653,-0.0654184,
81,0,0.255831,0.0359397,-0.0722003,
82,0,0.277334,0.0383284,-0.079536,
83,0,0.299807,0.0406941,-0.0874184,
84,0,0.323092,0.0429929,-0.0958219,
85,0,0.346975,0.0451756,-0.104699,
86,0,0.371187,0.0471884,-0.113974,
87,0,0.395396,0.0489759,-0.123541,
88,0,0.419213,0.0504843,-0.133264,
89,0,0.4422,0.0516654,-0.142974,
90,0,0.463879,0.0524825,-0.152474,
91,0,0.483756,0.0529137,-0.161547,
92,0,0.501352,0.0529579,-0.169969,
93,0,0.516231,0.0526356,-0.177522,
94,0,0.528036,0.0519907,-0.184014,
95,0,0.536526,0.0510867,-0.189292,
96,0,0.541598,0.0500019,-0.193261,
97,0,0.543301,0.048821,-0.195891,
98,0,0.541836,0.0476275,-0.197217,
99,0,0.537533,0.0464948,-0.197338,
100,0,0.530824,0.0454804,-0.196398,
101,0,0.522204,0.044623,-0.194578,
102,0,0.512188,0.0439418,-0.19207,
103,0,0.501272,0.0434387,-0.189068,
104,0,0.489909,0.0431023,-0.185751,
105,0,0.478482,0.0429114,-0.182272,
106,0,0.467301,0.0428411,-0.178759,
107,0,0.456597,0.0428648,-0.175312,
108,0,0.446533,0.0429572,-0.172001,
109,0,0.437208,0.0430966,-0.168874,
110,0,0.428669,0.0432644,-0.165959,
111,0,0.420925,0.0434468,-0.16327,
112,0,0.413958,0.0436328,-0.160807,
113,0,0.407728,0.0438151,-0.158566,
114,0,0.402182,0.0439888,-0.156532,
115,0,0.397262,0.0441512,-0.154693,
116,0,0.392907,0.0443006,-0.15303,
117,0,0.389058,0.0444368,-0.151527,
118,0,0.385657,0.04456,-0.150168,
119,0,0.38265,0.0446712,-0.148936,
120,0,0.379988,0.0447711,-0.147818,
121,0,0.377629,0.0448608,-0.146799,
122,0,0.375531,0.0449415,-0.145867,
123,0,0.373661,0.045014,-0.145013,
124,0,0.371989,0.0450796,-0.144227,
125,0,0.370488,0.0451392,-0.1435,
126,0,0.369136,0.0451933,-0.142826,
127,0,0.367912,0.0452426,-0.142198,
128,0,0.3668,0.0452879,-0.14161,
129,0,0.365786,0.0453299,-0.141059,
130,0,0.364856,0.0453684,-0.140541,
131,0,0.364001,0.0454044,-0.140051,
132,0,0.36321,0.045438,-0.139586,
133,0,0.362478,0.0454691,-0.139145,
134,0,0.361796,0.0454987,-0.138725,
135,0,0.361159,0.0455265,-0.138324,
136,0,0.360562,0.0455527,-0.137941,
137,0,0.360001,0.0455777,-0.137573,
138,0,0.359472,0.0456016,-0.137221,
139,0,0.358973,0.0456244,-0.136882,
140,0,0.3585,0.0456461,-0.136556,
141,0,0.358051,0.0456669,-0.136241,
142,0,0.357624,0.0456871,-0.135938,
143,0,0.357217,0.0457064,-0.135645,
144,0,0.356829,0.0457251,-0.135363,
145,0,0.356459,0.0457433,-0.135089,
146,0,0.356104,0.0457606,-0.134824,
147,0,0.355765,0.0457777,-0.134568,
148,0,0.35544,0.0457944,-0.13432,
149,0,0.355128,0.0458105,-0.13408,
150,0,0.354828,0.0458262,-0.133847,
151,0,0.35454,0.0458416,-0.13362,
152,0,0.354263,0.0458565,-0.133401,
153,0,0.353996,0.0458713,-0.133188,
